Timestamp,Open,High,Low,Close,Volume,SMA_10,SMA_50,SMA_100,EMA_10,EMA_50,EMA_100,RSI_10,RSI_50,RSI_100,VWAP,MACD,MACD_Hist,MACD_Signal
2022-08-12 12:45:00,107.7260,107.8570,107.6830,107.7520,38184,107.6006,107.8774,106.9705,107.6568,107.5862,107.2011,55.4127,53.9539,53.7311,107.6152,-0.0279,0.0294,-0.0573
2022-08-12 13:00:00,107.7150,107.8230,107.5860,107.6540,25118,107.6171,107.9032,106.9947,107.6563,107.5889,107.2100,49.2894,53.2061,53.3833,107.6182,-0.0258,0.0253,-0.0510
2022-08-12 13:15:00,107.6280,107.7020,107.4350,107.5040,25556,107.6263,107.9204,107.0189,107.6286,107.5855,107.2159,41.4919,52.0787,52.8545,107.6153,-0.0358,0.0122,-0.0480
2022-08-12 13:30:00,107.5020,107.6340,107.4590,107.6060,33062,107.6341,107.9285,107.0438,107.6245,107.5863,107.2236,47.7386,52.7730,53.1731,107.6128,-0.0351,0.0103,-0.0454
2022-08-12 13:45:00,107.5690,107.7210,107.5320,107.6540,31920,107.6423,107.9373,107.0690,107.6298,107.5890,107.2321,50.5019,53.0994,53.3231,107.6139,-0.0303,0.0121,-0.0424
2022-08-12 14:00:00,107.6370,107.7020,107.4640,107.5480,24828,107.6423,107.9371,107.0945,107.6150,107.5874,107.2384,44.7023,52.2853,52.9449,107.6124,-0.0347,0.0062,-0.0408
2022-08-12 14:15:00,107.5310,107.6630,107.4500,107.6060,50973,107.6413,107.9317,107.1227,107.6133,107.5881,107.2456,48.3111,52.6902,53.1286,107.6097,-0.0331,0.0062,-0.0393
2022-08-12 14:30:00,107.5850,107.8380,107.5270,107.7900,36296,107.6539,107.9254,107.1557,107.6455,107.5960,107.2564,57.9779,53.9553,53.7079,107.6147,-0.0168,0.0180,-0.0348
2022-08-12 14:45:00,107.7830,107.9160,107.7310,107.8580,40167,107.6704,107.9159,107.1874,107.6841,107.6063,107.2683,60.9748,54.4150,53.9205,107.6253,0.0016,0.0291,-0.0275
2022-08-12 15:00:00,107.8370,108.1100,107.8040,108.0490,45147,107.7021,107.9042,107.2202,107.7504,107.6237,107.2838,68.0796,55.6831,54.5131,107.6439,0.0313,0.0470,-0.0157
2022-08-12 15:15:00,108.0260,108.2070,107.9350,108.1210,83567,107.7390,107.8923,107.2568,107.8178,107.6432,107.3004,70.3412,56.1523,54.7348,107.6825,0.0599,0.0605,-0.0006
2022-08-12 15:30:00,108.0940,108.1580,107.8480,108.1110,127499,107.7847,107.8791,107.2910,107.8711,107.6615,107.3164,69.5804,56.0681,54.6974,107.7242,0.0808,0.0651,0.0157
2022-08-12 15:45:00,108.0740,108.3430,107.9790,108.2470,312250,107.8590,107.8718,107.3262,107.9395,107.6845,107.3349,73.8537,56.9629,55.1187,107.8279,0.1071,0.0732,0.0340
2022-08-12 16:00:00,108.2490,108.2940,108.2170,108.2660,830931,107.9250,107.8634,107.3623,107.9988,107.7073,107.3533,74.4117,57.0875,55.1775,107.9883,0.1280,0.0753,0.0528
2022-08-12 16:15:00,108.2490,108.2940,108.2170,108.2660,1857,107.9862,107.8562,107.3972,108.0474,107.7292,107.3714,74.4117,57.0875,55.1775,107.9886,0.1430,0.0722,0.0708
2022-08-12 16:45:00,108.2490,108.2940,108.2170,108.2660,2485,108.0580,107.8478,107.4329,108.0872,107.7502,107.3891,74.4117,57.0875,55.1775,107.9889,0.1530,0.0658,0.0873
2022-08-12 17:15:00,108.2490,108.2940,108.2170,108.2660,1193,108.1240,107.8453,107.4671,108.1197,107.7705,107.4064,74.4117,57.0875,55.1775,107.9890,0.1592,0.0575,0.1016
2022-08-12 17:45:00,108.2490,108.2940,108.2170,108.2660,253,108.1716,107.8405,107.5018,108.1463,107.7899,107.4235,74.4117,57.0875,55.1775,107.9890,0.1622,0.0484,0.1138
2022-08-15 08:15:00,107.5990,107.8280,107.5660,107.8000,466,108.1658,107.8257,107.5318,108.0833,107.7903,107.4309,39.4465,52.9297,53.3736,107.7313,0.1255,0.0094,0.1161
2022-08-15 09:30:00,108.0840,108.7510,107.7700,108.6940,120022,108.2303,107.8290,107.5561,108.1944,107.8257,107.4559,69.7478,58.8034,56.1515,108.4024,0.1667,0.0405,0.1262
2022-08-15 09:45:00,108.6860,108.9940,108.3360,108.5290,90523,108.2711,107.8263,107.5773,108.2552,107.8533,107.4772,63.2565,57.4532,55.5347,108.4956,0.1839,0.0461,0.1377
2022-08-15 10:00:00,108.5450,108.7800,108.4300,108.4990,70178,108.3099,107.8247,107.5975,108.2995,107.8786,107.4974,62.0891,57.2095,55.4229,108.5141,0.1928,0.0441,0.1488
2022-08-15 10:15:00,108.4630,108.6150,108.2460,108.4310,56444,108.3283,107.8199,107.6178,108.3234,107.9003,107.5159,59.3315,56.6536,55.1685,108.5001,0.1922,0.0348,0.1575
2022-08-15 10:30:00,108.4220,108.6150,108.3140,108.3630,57525,108.3380,107.8167,107.6374,108.3306,107.9184,107.5327,56.5412,56.0975,54.9140,108.4900,0.1842,0.0214,0.1628
